epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2276,1.40091,1.52453,1.34386,0.99196,0.85,0.8519,0.48843,1.54739,1.22497,1.51314,0.000665455,0.000665455,0.000665455
2,179.123,1.5342,1.50662,1.44759,1,0.58431,0.75931,0.49852,1.42941,1.68504,1.37075,0.00133179,0.00133179,0.00133179
3,265.638,1.49921,1.36815,1.42952,0.88234,0.5,0.50597,0.36176,2.62354,2.27896,2.26728,0.00199682,0.00199682,0.00199682
4,348.438,1.51781,1.50468,1.46427,0.93835,0.76158,0.86317,0.47711,1.48915,1.56388,1.33347,0.00199557,0.00199557,0.00199557
5,432.424,1.45548,1.28787,1.38866,1,0.64501,0.64888,0.4641,0.86298,0.89082,0.93379,0.00199212,0.00199212,0.00199212
6,515.149,1.37177,1.18791,1.33452,1,0.77699,0.86762,0.60796,0.9754,1.0049,1.11824,0.0019877,0.0019877,0.0019877
7,598.676,1.39689,1.16588,1.364,0.94195,0.85,0.93212,0.62595,1.33518,0.8662,1.34148,0.0019823,0.0019823,0.0019823
8,682.138,1.32807,1.10399,1.3347,0.87465,0.9,0.92579,0.70609,0.87683,0.76605,1.1269,0.00197594,0.00197594,0.00197594
9,765.481,1.35453,1.07712,1.33683,0.98465,0.8,0.91971,0.66177,1.15406,0.79751,1.24393,0.00196861,0.00196861,0.00196861
10,848.787,1.31475,1.09005,1.30848,0.84515,0.65,0.82284,0.59324,0.98181,0.88102,1.08829,0.00196033,0.00196033,0.00196033
11,934.148,1.27539,1.06843,1.2823,0.61098,0.7,0.53344,0.37613,0.99125,1.18589,1.13146,0.00195111,0.00195111,0.00195111
12,1017.92,1.21206,0.99916,1.23826,0.9926,0.95,0.94673,0.69491,1.02928,0.69833,1.11885,0.00194094,0.00194094,0.00194094
13,1101.46,1.25056,1.03211,1.26031,0.9992,0.85,0.93199,0.70344,0.96727,0.84207,1.10391,0.00192985,0.00192985,0.00192985
14,1185.12,1.23317,0.93008,1.22673,0.94055,0.95,0.94365,0.65095,1.10908,0.63759,1.12198,0.00191784,0.00191784,0.00191784
15,1269.06,1.18881,0.92071,1.24079,0.94985,0.94718,0.94402,0.68304,1.01244,0.74892,1.10957,0.00190492,0.00190492,0.00190492
16,1352.89,1.19849,0.89647,1.20177,1,0.9298,0.9479,0.69035,1.00206,0.65359,1.1071,0.00189112,0.00189112,0.00189112
17,1436.44,1.18363,0.87532,1.21531,0.97767,0.9,0.94129,0.70859,0.99245,0.71565,1.14263,0.00187643,0.00187643,0.00187643
18,1520.27,1.19787,0.9221,1.24407,0.99546,0.95,0.95531,0.70759,1.08118,0.59811,1.14162,0.00186088,0.00186088,0.00186088
19,1604.24,1.15266,0.86441,1.18538,1,0.84893,0.90511,0.6557,1.01455,0.72288,1.12378,0.00184448,0.00184448,0.00184448
20,1687.5,1.18994,0.89042,1.22468,0.93833,0.95,0.9383,0.68029,1.04849,0.71106,1.07337,0.00182725,0.00182725,0.00182725
21,1770.97,1.16724,0.8966,1.20323,0.99749,0.95,0.94611,0.70287,1.03214,0.67662,1.0982,0.00180921,0.00180921,0.00180921
22,1854.46,1.13383,0.8341,1.18193,1,0.94716,0.94666,0.72651,0.97364,0.60395,1.06843,0.00179036,0.00179036,0.00179036
23,1938.5,1.1791,0.89919,1.20151,0.99555,0.95,0.95782,0.72246,0.95864,0.61296,1.03656,0.00177074,0.00177074,0.00177074
24,2021.02,1.13746,0.86433,1.19262,0.98749,0.9,0.94206,0.70752,1.07783,0.69924,1.08932,0.00175036,0.00175036,0.00175036
