epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9662,1.05146,1.59383,1.41813,0.98158,0.68421,0.88149,0.655,0.97076,1.5989,1.59869,0.000662526,0.000662526,0.000662526
2,34.882,1.12222,1.23801,1.46718,0.9035,0.98606,0.98761,0.70038,1.06845,1.08306,1.68904,0.00132261,0.00132261,0.00132261
3,50.301,1.10828,1.11144,1.44661,0.85477,0.78947,0.84843,0.57739,0.99862,1.14856,1.56981,0.0019761,0.0019761,0.0019761
4,65.1767,1.13811,1.04382,1.47096,0.8651,0.89474,0.93256,0.69204,1.00768,0.94291,1.53727,0.0019703,0.0019703,0.0019703
5,80.9424,1.12453,0.94056,1.45467,0.99051,0.84211,0.94244,0.65373,1.06382,0.83401,1.60457,0.0019604,0.0019604,0.0019604
6,96.6708,1.08764,0.90992,1.41257,0.94443,0.89452,0.97195,0.64223,1.19965,0.67944,1.7541,0.0019505,0.0019505,0.0019505
7,112.819,1.05586,0.83457,1.39898,0.99413,0.89474,0.98136,0.74034,0.96812,0.69063,1.53908,0.0019406,0.0019406,0.0019406
8,128.733,1.05642,0.79254,1.39268,1,0.99908,0.995,0.76458,0.9279,0.5765,1.48925,0.0019307,0.0019307,0.0019307
9,144.839,1.02102,0.75277,1.38308,0.88087,0.89474,0.89892,0.65117,1.10178,0.77631,1.70477,0.0019208,0.0019208,0.0019208
10,160.455,1.05059,0.79157,1.40666,1,0.88943,0.9685,0.69558,1.02761,0.5764,1.57149,0.0019109,0.0019109,0.0019109
11,176.334,1.01194,0.71782,1.34425,0.99385,1,0.995,0.72982,0.96741,0.57128,1.53603,0.001901,0.001901,0.001901
12,192.329,0.9851,0.68713,1.33058,0.97649,0.94737,0.99024,0.74316,0.97353,0.52743,1.43608,0.0018911,0.0018911,0.0018911
13,208.211,0.96361,0.67218,1.32352,0.9899,0.94737,0.94617,0.72767,1.05164,0.54295,1.65033,0.0018812,0.0018812,0.0018812
14,224.916,0.98071,0.66146,1.31737,0.99525,1,0.995,0.75782,0.94851,0.49301,1.4946,0.0018713,0.0018713,0.0018713
15,243.005,0.95773,0.64636,1.30337,0.99526,1,0.995,0.78087,0.97005,0.48085,1.4933,0.0018614,0.0018614,0.0018614
16,261.84,0.9351,0.64823,1.29704,0.94643,1,0.9925,0.7522,0.90555,0.44615,1.49677,0.0018515,0.0018515,0.0018515
17,277.771,0.95902,0.62283,1.31592,0.99912,0.94737,0.99024,0.75214,0.88985,0.45938,1.47695,0.0018416,0.0018416,0.0018416
18,293.987,0.95656,0.64255,1.29822,0.9964,1,0.995,0.77054,0.87927,0.37299,1.49108,0.0018317,0.0018317,0.0018317
19,310.387,0.93677,0.60853,1.29569,0.99921,1,0.995,0.75182,0.90619,0.44303,1.434,0.0018218,0.0018218,0.0018218
20,326.512,0.89442,0.59246,1.28033,0.94518,0.94737,0.98195,0.78454,0.85234,0.46126,1.40336,0.0018119,0.0018119,0.0018119
21,342.397,0.92403,0.60681,1.28991,0.9953,1,0.995,0.74682,0.93259,0.44647,1.44759,0.001802,0.001802,0.001802
22,358.077,0.89365,0.5631,1.26479,0.99605,1,0.995,0.79713,0.84014,0.40979,1.42349,0.0017921,0.0017921,0.0017921
23,373.775,0.88234,0.58673,1.2767,1,0.8934,0.95396,0.77856,0.84773,0.54152,1.36506,0.0017822,0.0017822,0.0017822
24,389.532,0.89541,0.5592,1.27489,1,0.99803,0.995,0.77705,0.8696,0.3966,1.40453,0.0017723,0.0017723,0.0017723
25,405.622,0.87061,0.53945,1.24815,0.97814,0.89474,0.97744,0.7251,0.89575,0.45138,1.40695,0.0017624,0.0017624,0.0017624
26,422.808,0.87923,0.55229,1.24474,0.99618,1,0.995,0.79221,0.86295,0.39919,1.36854,0.0017525,0.0017525,0.0017525
27,440.542,0.88462,0.55177,1.2649,0.99264,1,0.995,0.80072,0.86671,0.39008,1.37493,0.0017426,0.0017426,0.0017426
28,456.635,0.90958,0.56538,1.27169,0.99494,0.94737,0.99024,0.81063,0.77642,0.43366,1.37247,0.0017327,0.0017327,0.0017327
29,472.767,0.87605,0.5456,1.25362,1,0.8817,0.98318,0.79186,0.75971,0.42235,1.24561,0.0017228,0.0017228,0.0017228
