epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.34,1.6523,2.16119,1.7934,0.6279,0.73227,0.72258,0.36008,1.60441,1.73903,1.87313,0.000476133,0.000476133,0.000476133
2,503.411,1.55582,1.69996,1.72053,0.73158,0.77358,0.82171,0.45332,1.47364,1.44534,1.82634,0.000943037,0.000943037,0.000943037
3,735.191,1.51349,1.45337,1.69071,0.77567,0.76984,0.8176,0.43706,1.56062,1.29702,1.91831,0.00140051,0.00140051,0.00140051
4,967.955,1.49397,1.36488,1.66144,0.74446,0.80252,0.8298,0.44191,1.52154,1.40166,1.7744,0.00138656,0.00138656,0.00138656
5,1201.04,1.4625,1.28748,1.63697,0.84304,0.76226,0.87328,0.48444,1.4809,1.22944,1.80316,0.00137241,0.00137241,0.00137241
6,1435.45,1.44268,1.21739,1.63831,0.87661,0.90189,0.94768,0.54379,1.44314,0.96423,1.77671,0.00135826,0.00135826,0.00135826
7,1668.62,1.44394,1.19861,1.62937,0.90298,0.87547,0.94963,0.54387,1.43972,0.95804,1.80483,0.00134412,0.00134412,0.00134412
8,1901.43,1.42178,1.15012,1.61093,0.90585,0.87142,0.95677,0.55531,1.39817,0.91309,1.72724,0.00132997,0.00132997,0.00132997
9,2137.8,1.42092,1.12805,1.62545,0.80495,0.89434,0.89883,0.52176,1.48262,0.97121,1.76261,0.00131582,0.00131582,0.00131582
10,2371.32,1.4258,1.08698,1.62352,0.88119,0.90943,0.95301,0.54951,1.39162,1.09813,1.72727,0.00130168,0.00130168,0.00130168
11,2605.22,1.37776,1.07203,1.57467,0.90834,0.91698,0.94069,0.55573,1.39651,0.92363,1.71565,0.00128753,0.00128753,0.00128753
12,2841.61,1.38173,1.03265,1.55733,0.90281,0.91321,0.96477,0.5538,1.43749,0.89089,1.73639,0.00127338,0.00127338,0.00127338
13,3077.05,1.37077,1.02202,1.55921,0.92261,0.90189,0.95649,0.56288,1.43744,0.83102,1.74601,0.00125923,0.00125923,0.00125923
14,3310.32,1.35362,1.00359,1.55366,0.91641,0.9283,0.96433,0.57808,1.42834,0.77746,1.75563,0.00124509,0.00124509,0.00124509
15,3544.72,1.36798,0.97804,1.56203,0.96034,0.91698,0.98006,0.58844,1.38712,0.74424,1.7053,0.00123094,0.00123094,0.00123094
16,3780.04,1.35402,0.94432,1.53004,0.94539,0.93208,0.94309,0.57381,1.40775,0.73097,1.71099,0.00121679,0.00121679,0.00121679
17,4012.5,1.35896,0.94863,1.5452,0.92683,0.87547,0.93999,0.55369,1.35826,0.92706,1.71621,0.00120265,0.00120265,0.00120265
18,4240.64,1.32092,0.93863,1.50441,0.9081,0.93225,0.92129,0.54338,1.39189,0.80068,1.70709,0.0011885,0.0011885,0.0011885
19,4472.61,1.32417,0.90665,1.51745,0.8692,0.95294,0.89891,0.52236,1.38388,0.89128,1.69196,0.00117435,0.00117435,0.00117435
20,4707.5,1.3398,0.9164,1.52908,0.93442,0.93962,0.94233,0.55466,1.36867,0.80307,1.67662,0.00116021,0.00116021,0.00116021
21,4941.75,1.33614,0.89346,1.53264,0.96908,0.95472,0.9709,0.59043,1.34958,0.72004,1.68144,0.00114606,0.00114606,0.00114606
22,5175.95,1.32173,0.9258,1.5172,0.96207,0.95706,0.97853,0.60674,1.32587,0.70268,1.65453,0.00113191,0.00113191,0.00113191
23,5408.2,1.28586,0.8824,1.48636,0.97857,0.93585,0.98655,0.59292,1.39042,0.69725,1.65004,0.00111776,0.00111776,0.00111776
24,5640.16,1.32057,0.90301,1.5155,0.95857,0.96047,0.9714,0.60407,1.34977,0.68817,1.65724,0.00110362,0.00110362,0.00110362
25,5872.09,1.3204,0.86511,1.52352,0.9466,0.95472,0.96696,0.58742,1.36208,0.70235,1.63919,0.00108947,0.00108947,0.00108947
26,6103.89,1.29531,0.8721,1.48696,0.92111,0.9253,0.9532,0.59073,1.34193,0.75831,1.65908,0.00107532,0.00107532,0.00107532
27,6337.84,1.29393,0.85073,1.4854,0.87678,0.93983,0.939,0.54963,1.42272,0.88973,1.70227,0.00106118,0.00106118,0.00106118
28,6571.81,1.30711,0.85356,1.50502,0.93362,0.93962,0.96139,0.57722,1.39503,0.74717,1.6892,0.00104703,0.00104703,0.00104703
29,6805.37,1.28663,0.84504,1.47028,0.90901,0.96226,0.93287,0.54641,1.39055,0.81779,1.68718,0.00103288,0.00103288,0.00103288
30,7037.53,1.25859,0.84612,1.46216,0.9546,0.95204,0.97688,0.60667,1.36737,0.72225,1.65518,0.00101873,0.00101873,0.00101873
31,7271.89,1.27295,0.82203,1.47553,0.92647,0.95093,0.94804,0.57319,1.36881,0.69146,1.6827,0.00100459,0.00100459,0.00100459
32,7506.55,1.26959,0.84334,1.48995,0.95469,0.95409,0.96576,0.60943,1.33322,0.65937,1.62609,0.00099044,0.00099044,0.00099044
33,7740.22,1.26003,0.81635,1.46596,0.9694,0.95651,0.97351,0.61485,1.36392,0.63976,1.65709,0.000976293,0.000976293,0.000976293
34,7974.88,1.264,0.83595,1.46264,0.97352,0.97128,0.98332,0.61173,1.34803,0.62188,1.66895,0.000962146,0.000962146,0.000962146
35,8208.33,1.24701,0.80516,1.46084,0.96558,0.95274,0.9639,0.60616,1.32406,0.64984,1.64362,0.000947999,0.000947999,0.000947999
36,8442.16,1.2671,0.78708,1.48339,0.93036,0.96604,0.94504,0.5648,1.33997,0.69696,1.65237,0.000933851,0.000933851,0.000933851
37,8675.14,1.22729,0.77615,1.44187,0.95353,0.96604,0.94593,0.58979,1.35535,0.72061,1.63551,0.000919704,0.000919704,0.000919704
38,8907.95,1.25907,0.79934,1.45525,0.97665,0.96981,0.97614,0.60674,1.34637,0.65515,1.64028,0.000905557,0.000905557,0.000905557
39,9141.32,1.26251,0.79217,1.46951,0.97336,0.96514,0.982,0.61868,1.33546,0.61566,1.60946,0.00089141,0.00089141,0.00089141
40,9373.49,1.23961,0.79632,1.44671,0.97054,0.96981,0.98152,0.63418,1.33429,0.59335,1.61193,0.000877263,0.000877263,0.000877263
41,9606.18,1.24642,0.7798,1.44529,0.97137,0.95849,0.96748,0.61666,1.33243,0.61978,1.64427,0.000863116,0.000863116,0.000863116
42,9840.45,1.25366,0.77198,1.45841,0.96278,0.95849,0.96764,0.61056,1.32228,0.61216,1.60618,0.000848969,0.000848969,0.000848969
43,10074.6,1.2495,0.78419,1.46582,0.97361,0.97454,0.97619,0.61475,1.33555,0.58047,1.62007,0.000834822,0.000834822,0.000834822
44,10309,1.23894,0.75866,1.44646,0.96555,0.95198,0.96688,0.60077,1.3514,0.6345,1.61443,0.000820675,0.000820675,0.000820675
45,10544.7,1.24296,0.77998,1.45461,0.97239,0.97358,0.97965,0.59366,1.31024,0.61524,1.5991,0.000806528,0.000806528,0.000806528
46,10779.3,1.22902,0.7528,1.4309,0.99129,0.95472,0.98479,0.61071,1.31237,0.58098,1.58175,0.00079238,0.00079238,0.00079238
47,11012.7,1.24863,0.78488,1.45136,0.9694,0.96226,0.96233,0.59507,1.3412,0.63402,1.61013,0.000778233,0.000778233,0.000778233
48,11244.9,1.20567,0.74705,1.41245,0.97218,0.95849,0.97152,0.60258,1.34415,0.60026,1.61287,0.000764086,0.000764086,0.000764086
49,11478.8,1.22484,0.74521,1.42513,0.95857,0.96052,0.97076,0.61337,1.37391,0.59428,1.63765,0.000749939,0.000749939,0.000749939
50,11711.1,1.22386,0.74672,1.42881,0.97347,0.96943,0.98139,0.61816,1.33348,0.59774,1.6129,0.000735792,0.000735792,0.000735792
51,11945.9,1.20509,0.73329,1.39827,0.97723,0.97181,0.98344,0.64271,1.28394,0.58004,1.57392,0.000721645,0.000721645,0.000721645
52,12177.8,1.21078,0.73084,1.42475,0.95195,0.97185,0.96916,0.62567,1.28506,0.57909,1.59509,0.000707498,0.000707498,0.000707498
53,12411.3,1.22052,0.72203,1.4392,0.97714,0.96762,0.99067,0.64406,1.31709,0.57535,1.62075,0.000693351,0.000693351,0.000693351
54,12643.3,1.21488,0.7376,1.42317,0.9511,0.97358,0.96437,0.60378,1.32913,0.59069,1.61858,0.000679204,0.000679204,0.000679204
55,12876.1,1.20871,0.72235,1.4159,0.9722,0.96226,0.97357,0.61722,1.31729,0.56819,1.60258,0.000665057,0.000665057,0.000665057
56,13110.4,1.18808,0.73135,1.39161,0.96981,0.96966,0.97053,0.61858,1.32626,0.57229,1.59919,0.000650909,0.000650909,0.000650909
57,13342.3,1.2072,0.71898,1.40929,0.97232,0.96981,0.97667,0.62953,1.31432,0.57289,1.61574,0.000636762,0.000636762,0.000636762
58,13576.8,1.20242,0.72717,1.4143,0.97344,0.95849,0.97005,0.63839,1.31052,0.60168,1.60208,0.000622615,0.000622615,0.000622615
59,13809,1.18344,0.72943,1.40646,0.95875,0.96604,0.96963,0.62063,1.31295,0.58954,1.60371,0.000608468,0.000608468,0.000608468
60,14044,1.18845,0.71009,1.41666,0.96999,0.96604,0.9734,0.63708,1.29527,0.5533,1.60629,0.000594321,0.000594321,0.000594321
61,14277.2,1.17804,0.69834,1.39666,0.97734,0.97674,0.97218,0.6271,1.31682,0.56899,1.59363,0.000580174,0.000580174,0.000580174
62,14510.5,1.18456,0.70289,1.41519,0.97001,0.9764,0.978,0.62438,1.30513,0.58468,1.59749,0.000566027,0.000566027,0.000566027
63,14743.1,1.178,0.70183,1.39108,0.97283,0.97736,0.98221,0.62741,1.29908,0.55061,1.58165,0.00055188,0.00055188,0.00055188
64,14976.4,1.17939,0.68332,1.40522,0.96774,0.98113,0.98122,0.64043,1.29675,0.56801,1.60823,0.000537733,0.000537733,0.000537733
65,15209.8,1.17645,0.68605,1.39387,0.98083,0.96548,0.97297,0.61895,1.30363,0.59872,1.58531,0.000523586,0.000523586,0.000523586
66,15443.2,1.16667,0.68921,1.39615,0.96387,0.96981,0.97201,0.61096,1.33156,0.58644,1.61435,0.000509438,0.000509438,0.000509438
67,15677.8,1.18035,0.70699,1.40337,0.98425,0.96981,0.97694,0.62487,1.31084,0.56898,1.59796,0.000495291,0.000495291,0.000495291
68,15912.8,1.1624,0.68241,1.38894,0.97874,0.97736,0.9786,0.63245,1.2833,0.53625,1.58962,0.000481144,0.000481144,0.000481144
69,16147.5,1.17245,0.7073,1.38417,0.97346,0.96897,0.97586,0.61881,1.32534,0.57302,1.60932,0.000466997,0.000466997,0.000466997
70,16385.5,1.14956,0.68877,1.37164,0.96538,0.98113,0.9754,0.6045,1.31366,0.56717,1.60859,0.00045285,0.00045285,0.00045285
71,16619.8,1.13276,0.66807,1.35073,0.97805,0.95849,0.97184,0.6242,1.27948,0.59533,1.5756,0.000438703,0.000438703,0.000438703
72,16854.3,1.16447,0.67444,1.37278,0.97327,0.96165,0.97662,0.61984,1.30892,0.63003,1.60976,0.000424556,0.000424556,0.000424556
73,17088.1,1.13539,0.65797,1.36671,0.98069,0.95845,0.97412,0.62574,1.30062,0.57206,1.59259,0.000410409,0.000410409,0.000410409
74,17322.8,1.15873,0.6694,1.37272,0.96617,0.96604,0.97362,0.61183,1.31752,0.59715,1.58691,0.000396262,0.000396262,0.000396262
75,17558.4,1.11657,0.65867,1.34418,0.97282,0.94559,0.97145,0.60951,1.32201,0.65014,1.62986,0.000382115,0.000382115,0.000382115
76,17792.3,1.15155,0.67433,1.37894,0.97343,0.96763,0.96975,0.60985,1.31213,0.61607,1.6024,0.000367967,0.000367967,0.000367967
77,18027.4,1.15953,0.67625,1.3719,0.97931,0.96226,0.96994,0.6152,1.31653,0.58123,1.60079,0.00035382,0.00035382,0.00035382
78,18263.1,1.13523,0.65464,1.34666,0.95836,0.96981,0.97059,0.61438,1.28868,0.60815,1.57449,0.000339673,0.000339673,0.000339673
79,18498.5,1.1491,0.66372,1.37383,0.95922,0.97646,0.9758,0.62408,1.30298,0.56011,1.57899,0.000325526,0.000325526,0.000325526
80,18731.6,1.15537,0.66559,1.37287,0.97987,0.96981,0.97528,0.61384,1.32227,0.57971,1.60605,0.000311379,0.000311379,0.000311379
81,18966.5,1.15159,0.65652,1.37529,0.98091,0.9697,0.97843,0.62884,1.31766,0.55444,1.60365,0.000297232,0.000297232,0.000297232
82,19201.2,1.11493,0.65053,1.34421,0.9743,0.96604,0.97533,0.62586,1.31095,0.57191,1.59902,0.000283085,0.000283085,0.000283085
83,19434.9,1.13762,0.64545,1.36152,0.97234,0.96604,0.97801,0.62794,1.31781,0.5382,1.59982,0.000268938,0.000268938,0.000268938
84,19668.3,1.10839,0.63872,1.3492,0.97348,0.96957,0.97908,0.62538,1.31629,0.55734,1.61313,0.000254791,0.000254791,0.000254791
85,19904.9,1.1486,0.64187,1.37366,0.96632,0.98113,0.97799,0.62963,1.32103,0.53496,1.61039,0.000240644,0.000240644,0.000240644
86,20140.2,1.10589,0.65468,1.3459,0.97335,0.96493,0.97209,0.6108,1.34138,0.57742,1.6193,0.000226497,0.000226497,0.000226497
87,20374.3,1.0868,0.62301,1.32595,0.96489,0.98113,0.97839,0.63578,1.30037,0.55799,1.58836,0.000212349,0.000212349,0.000212349
88,20608.2,1.10777,0.63604,1.35065,0.98064,0.96981,0.97807,0.62701,1.31241,0.5393,1.59236,0.000198202,0.000198202,0.000198202
89,20844,1.11707,0.63069,1.35887,0.97723,0.9717,0.97441,0.62453,1.33018,0.54793,1.61911,0.000184055,0.000184055,0.000184055
90,21075.9,1.09663,0.63565,1.34207,0.98099,0.97351,0.97932,0.63018,1.30968,0.5462,1.58333,0.000169908,0.000169908,0.000169908
91,21320.2,1.1,0.47901,1.41752,0.97857,0.96981,0.97964,0.63635,1.28051,0.54234,1.56277,0.000155761,0.000155761,0.000155761
92,21556.9,1.09274,0.47555,1.41533,0.97923,0.96981,0.98036,0.64133,1.28866,0.53813,1.56456,0.000141614,0.000141614,0.000141614
93,21793.2,1.07473,0.47382,1.40983,0.98335,0.96981,0.98075,0.6432,1.27313,0.54137,1.55094,0.000127467,0.000127467,0.000127467
94,22031.2,1.07377,0.46734,1.39526,0.98272,0.95849,0.98018,0.6397,1.28981,0.54455,1.55929,0.00011332,0.00011332,0.00011332
95,22269,1.07566,0.46515,1.3987,0.98452,0.9597,0.97811,0.63762,1.28782,0.55394,1.5674,9.91726e-05,9.91726e-05,9.91726e-05
96,22507.4,1.0695,0.45881,1.39383,0.97872,0.95472,0.97371,0.63594,1.29004,0.55339,1.56096,8.50255e-05,8.50255e-05,8.50255e-05
97,22743.1,1.06939,0.45828,1.39212,0.97309,0.95534,0.97133,0.63338,1.29418,0.55867,1.57024,7.08784e-05,7.08784e-05,7.08784e-05
98,22980.2,1.05996,0.45471,1.38286,0.98455,0.96162,0.97768,0.63677,1.28673,0.54668,1.57126,5.67313e-05,5.67313e-05,5.67313e-05
99,23219.5,1.06465,0.45452,1.39703,0.97482,0.95849,0.97739,0.6319,1.29062,0.54652,1.57008,4.25842e-05,4.25842e-05,4.25842e-05
100,23458.1,1.06074,0.46053,1.39558,0.96953,0.9607,0.97803,0.63544,1.28516,0.54442,1.56702,2.84371e-05,2.84371e-05,2.84371e-05
